time,XLE,XLB,XLI,XLY,XLP,XLV,XLF,XTL,XLU,XLK,XLRE
2006-03-30,35.5165902083,22.9679761573,24.5830515059,27.18650045,15.6276165694,24.5347531336,19.1595659712,,17.7005658544,17.7539721728,
2006-03-31,35.0208901093,22.7499702599,24.5757805649,27.1059717165,15.5682461392,24.3974317542,19.1654539755,,17.5694927653,17.6503342571,
2006-04-03,35.214020018,23.031268192,24.6630318569,27.0093372362,15.6210198549,24.3821738231,19.194893997,,17.5922880851,17.7539721728,
2006-04-04,35.6775317989,23.0664304335,24.8302634997,27.1623418299,15.607826426,24.4126896852,19.4009741473,,17.7803494738,17.8177493517,
2006-04-05,36.2633591886,23.3828906071,24.8448053817,27.3395050438,15.6408099983,24.3364000299,19.436302173,,17.9513143726,17.9692201516,
2006-04-06,36.3406111521,23.4321177452,24.8084506768,27.3958751573,15.5814395681,24.1533048573,19.3656461215,,17.7290600042,17.9532758568,
2006-04-07,35.6324681535,23.0734628818,24.6848446798,27.2750820569,15.4429085643,23.8634041673,19.1831179884,,17.4783114859,17.7460000254,
2006-04-10,36.3084228339,23.0664304335,24.5975933879,27.2348176901,15.4626987077,23.8176303741,19.2184460142,,17.472612656,17.7220835834,
2006-04-11,36.050916289,22.8976516742,24.5539677419,27.0173901095,15.3175709895,23.5582455462,19.0535818939,,17.2731536074,17.5626406361,
2006-04-12,35.812722735,23.0523655369,24.7211993848,26.9932314895,15.3703447052,23.7184538223,19.094797924,,17.3130454171,17.5945292256,
2006-04-13,35.9286006802,23.171917158,24.6194062109,27.0576544763,15.3439578474,23.6650510636,19.1242379455,,17.2332617977,17.6184456677,
2006-04-17,36.5594917152,23.3688257105,24.503071155,26.9207556293,15.2713939882,23.5048427875,19.1065739326,,17.2218641378,17.4510305731,
2006-04-18,37.486515277,24.0158109544,25.0847464346,27.3153464237,15.4033282775,23.7489696844,19.4598541902,,17.5466974455,17.7778886149,
2006-04-19,38.065905003,24.1775572654,25.2447071365,27.2187119434,15.4231184209,23.6116483049,19.4834062074,,17.6036857451,17.7619443202,
2006-04-20,37.673207522,23.9525189197,25.3392293694,27.3233992971,15.4495052788,23.8252593397,19.5246222374,,17.7290600042,17.7778886149,
2006-04-21,38.458602484,24.191622162,25.3683131334,27.1140245898,15.4495052788,23.771856581,19.5010702203,,17.8088436236,17.5865570782,
2006-04-24,37.8727750943,24.1072327823,25.4555644254,27.1059717165,15.5154724235,23.6803089947,19.5069582246,,17.9741096924,17.5626406361,
2006-04-25,37.383512659,23.9384540231,25.1574558445,27.0657073497,15.5154724235,23.5353586496,19.3891981387,,17.7176623442,17.5546684888,
2006-04-26,36.7912476057,23.9314215748,25.2956037235,27.2509234369,15.6606001417,23.5353586496,19.5010702203,,17.5409986155,17.6184456677,
2006-04-27,36.3727994702,23.4532150902,25.1574558445,27.4683510175,15.6803902851,23.4056662357,19.8072464435,,17.7746506438,17.7938329096,
2006-04-28,36.784809942,23.5587018147,25.1065592576,27.4522452708,15.7199705719,23.642164167,19.9956625809,,17.8487354333,17.4191419836,
2006-05-01,37.3899503226,23.7134156774,25.1719977265,27.299240677,15.7133738574,23.4361820978,19.6835983534,,17.6834693645,17.2756433311,
2006-05-02,38.22040893,23.9454864714,25.3755840744,27.3233992971,15.80572786,23.4361820978,19.8072464435,,17.9684108625,17.3553648048,
2006-05-03,37.6281438767,23.9525189197,25.3828550154,27.3958751573,15.7001804285,23.1767972699,19.7895824306,,17.9114225629,17.315504068,
2006-05-04,37.4543269588,24.191622162,25.6882345372,27.548879751,15.7265672864,23.2530869252,19.8307984607,,17.9342178827,17.3792812468,
